setting,instances,mean_optimal_dynamic,se_optimal_dynamic,min_optimal_dynamic,max_optimal_dynamic,mean_optimal_static,se_optimal_static,min_optimal_static,max_optimal_static,mean_optimal_static_nonoverlap,se_optimal_static_nonoverlap,min_optimal_static_nonoverlap,max_optimal_static_nonoverlap,mean_static_nonoverlap_greedy,se_static_nonoverlap_greedy,min_static_nonoverlap_greedy,max_static_nonoverlap_greedy,mean_exact_joint_greedy,se_exact_joint_greedy,min_exact_joint_greedy,max_exact_joint_greedy,mean_marginal_product_greedy,se_marginal_product_greedy,min_marginal_product_greedy,max_marginal_product_greedy,mean_adaptivity_gap,se_adaptivity_gap,min_adaptivity_gap,max_adaptivity_gap,mean_static_fraction_dynamic,se_static_fraction_dynamic,min_static_fraction_dynamic,max_static_fraction_dynamic,mean_static_nonoverlap_fraction_dynamic,se_static_nonoverlap_fraction_dynamic,min_static_nonoverlap_fraction_dynamic,max_static_nonoverlap_fraction_dynamic,mean_static_greedy_fraction_dynamic,se_static_greedy_fraction_dynamic,min_static_greedy_fraction_dynamic,max_static_greedy_fraction_dynamic,mean_exact_joint_fraction_dynamic,se_exact_joint_fraction_dynamic,min_exact_joint_fraction_dynamic,max_exact_joint_fraction_dynamic,mean_marginal_product_fraction_dynamic,se_marginal_product_fraction_dynamic,min_marginal_product_fraction_dynamic,max_marginal_product_fraction_dynamic,mean_runtime_seconds,se_runtime_seconds,min_runtime_seconds,max_runtime_seconds,mean_dynamic_states,se_dynamic_states,min_dynamic_states,max_dynamic_states,root_disagreement_rate,exact_better_rate,marginal_better_rate,exact_better_than_static_rate,static_better_than_exact_rate,exact_better_than_static_greedy_rate,static_greedy_better_than_exact_rate
random_n4_b2_g4,300,1.030012962121511,0.03277878642664831,0.11608187511353504,3.1500742696461406,1.023834949244682,0.03250683003606772,0.11608187511353504,3.1500742696461406,1.0218817785844054,0.03242299778903521,0.11608187511353504,3.1500742696461406,0.9698164417626989,0.030024442265978658,0.11608187511353504,2.8473881279131708,1.0154418248988915,0.032129698626460416,0.11608187511353504,3.0652072302949134,1.015199671208742,0.032096113593696914,0.11608187511353504,3.0652072302949134,1.0054197474585742,0.0007072553209231013,0.9999999999999997,1.074384996639239,0.9947518793263195,0.0006771962900768619,0.9307650452380468,1.0000000000000002,0.993171559531392,0.0008504491965595405,0.9109960988111026,1.0000000000000002,0.9528923145442696,0.004318844379956292,0.6080049331435343,1.0000000000000002,0.9880981975699791,0.0015013396950035395,0.8343116120250247,1.0000000000000004,0.9880001730097215,0.001511000211525124,0.8343116120250247,1.0000000000000004,0.0004439791633437077,5.86369341530817e-06,0.0003822091966867447,0.001932166051119566,162.0,0.0,162.0,162.0,0.0,0.006666666666666667,0.0,0.16666666666666666,0.21333333333333335,0.38333333333333336,0.0
random_n5_b3_g5,200,1.314232231723426,0.04599809132856636,0.24705890518182594,3.235034295456886,1.299775741535533,0.04509726046845265,0.24705890518182588,3.167062182262128,1.2983351548161286,0.04505665109835802,0.24705890518182594,3.1488107839050743,1.19520384417659,0.03990780489668933,0.19934148601135132,2.8823296310809443,1.2959102744616546,0.045035179354634906,0.2301613520821819,3.1897226216340333,1.2954909085915707,0.04503608849374676,0.2301613520821819,3.1897226216340333,1.0094572215149014,0.0009285518555504225,0.9999999999999997,1.0500534754196347,0.9907955122285966,0.0008967191086174481,0.9523324510690927,1.0000000000000004,0.989549787409251,0.00102082266895137,0.9349298538004659,1.0000000000000004,0.9241604490243127,0.006947268312774324,0.6101356758227925,1.0000000000000004,0.9879178792203589,0.0013766983724284078,0.8976905292263133,1.0000000000000002,0.9875728029796802,0.0014102362387470313,0.8976905292263133,1.0000000000000002,0.01843028625706211,5.771264756110035e-05,0.01758816698566079,0.026779124978929758,2562.0,0.0,2562.0,2562.0,0.0,0.055,0.005,0.27,0.26,0.525,0.0
random_n6_b3_g3,100,1.677781997473855,0.06934730863135677,0.35058249895290056,3.6765108784386067,1.6574143629513538,0.0677705782878485,0.34741857312729696,3.585028174650212,1.6473917117682197,0.06691270374456697,0.33625740732626525,3.538819335454904,1.5153211272036744,0.061465617194393043,0.33625740732626525,3.5165272579007865,1.653104741204683,0.06807823483661109,0.34963309126005104,3.5884098713194073,1.6517032844053383,0.06789335865744851,0.34963309126005104,3.5884098713194073,1.0108718790685791,0.0012964777723271964,0.9999999999999996,1.0507083425276544,0.9894040651912717,0.0012525116285162642,0.9517388979650937,1.0000000000000004,0.9837999968185552,0.001871701787225337,0.9235371730133212,1.0000000000000004,0.9125593536005627,0.008974222573814522,0.6568609564173651,1.0000000000000004,0.9863175775507829,0.0018693837077656775,0.8961543404895536,1.0000000000000002,0.9857543986699262,0.0019618313062209837,0.888302445318945,1.0000000000000002,0.05548495252151042,0.000446485998231086,0.05298666702583432,0.08378529222682118,10825.0,0.0,10825.0,10825.0,0.0,0.08,0.0,0.33,0.37,0.71,0.0
