agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN,solveConicGibbsGreedyDynamic
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.25,0.375,0.375,0.375,0.375,0.375,0.4375,0.375,0.375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.328125,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.2578125,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.3125,0.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.375,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.4921875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.6875,0.6875
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.3125,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.390625,0.625,0.625,0.625,0.625,0.625,0.6875,0.625,0.625
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.3515625,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.40248781612223394
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.46875,0.625,0.625,0.625,0.625,0.625,0.6875,0.625,0.625
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.5859375,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.8125
"[(0, 0.25, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.453125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.5808910695468914
"[(0, 0.25, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.1640625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.5625,0.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.5625,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.6716527265542677
"[(0, 0.25, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.6796875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.33984375,0.375,0.375,0.375,0.375,0.375,0.4375,0.328125,0.36377519099051636
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.4921874999999999,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.28125,0.5457759812961012
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.64453125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.75
"[(0, 0.25, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.6328125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.6921636261854583
"[(0, 0.25, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.7851562499999999,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.866903483930453
"[(0, 0.25, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.92578125,1.125,1.125,1.125,1.125,1.125,1.1875,1.125,1.0203215555848262
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.25)]",0.1171874999999999,0.25,0.25,0.25,0.25,0.25,0.375,0.25,0.25
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.25)]",0.14453125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.1875,0.3125
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.5)]",0.1796875,0.25,0.25,0.25,0.25,0.25,0.375,0.125,0.25
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.5)]",0.25,0.375,0.375,0.375,0.375,0.375,0.5,0.25,0.375
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.5)]",0.2890625,0.5,0.5,0.5,0.5,0.5,0.625,0.375,0.5
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.75)]",0.26953125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.3125,0.3125
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.75)]",0.296875,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.75)]",0.33203125,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125,0.6875,0.6875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.25)]",0.2421875,0.375,0.375,0.375,0.375,0.375,0.5,0.1875,0.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5)]",0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.0,0.3125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5)]",0.2890625,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375,0.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5)]",0.3203125,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75)]",0.3125,0.375,0.375,0.375,0.375,0.375,0.5,0.375,0.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75)]",0.34765625,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75)]",0.3828125,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.203125,0.25,0.25,0.25,0.25,0.25,0.375,0.15625,0.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.28125,0.375,0.375,0.375,0.375,0.375,0.5,0.25,0.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.359375,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.3046875,0.328125,0.3125,0.3125,0.3125,0.328125,0.4375,0.3125,0.3250954952581665
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.421875,0.515625,0.5,0.5,0.5,0.515625,0.625,0.5,0.5
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.4375,0.703125,0.6875,0.6875,0.6875,0.703125,0.8125,0.65625,0.6875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.34375,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.421875,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.3984375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375,0.4163757903055848
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.515625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.6328125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.8125,0.8125
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.484375,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.5905887776606955
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.21875,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.21875,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.7069448103266596
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.7265625,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375,0.9375
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.38671875,0.40625,0.40625,0.40625,0.375,0.40625,0.5,0.28125,0.40625
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5390625,0.5859375,0.5625,0.5625,0.5625,0.5859375,0.6875,0.515625,0.5786271733403583
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.59375,0.7734375,0.75,0.75,0.75,0.7734375,0.875,0.7734375,0.75
"[(0, 0.5, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.6796875,0.75,0.75,0.75,0.75,0.75,0.875,0.65625,0.7240927950474183
"[(0, 0.5, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.8320312499999999,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375,0.9231510142255005
"[(0, 0.5, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.8984375,1.125,1.125,1.125,1.125,1.125,1.25,1.125,1.0699996707060064
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.25)]",0.3046875,0.375,0.375,0.375,0.375,0.375,0.5625,0.1875,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5)]",0.328125,0.375,0.375,0.375,0.375,0.375,0.5,0.375,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5)]",0.3515625,0.4375,0.4375,0.4375,0.4375,0.4375,0.625,0.25,0.4375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5)]",0.375,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.375,0.5625
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75)]",0.375,0.375,0.375,0.375,0.375,0.375,0.5625,0.375,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75)]",0.41015625,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.375,0.5625
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75)]",0.4453125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75,0.75
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.3125,0.3125
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.359375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375,0.4375
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.40625,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5625
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.359375,0.375,0.375,0.375,0.375,0.375,0.5,0.375,0.3517765410958904
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.4296875,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5625
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.5,0.75,0.75,0.75,0.75,0.75,0.875,0.5625,0.75
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.25,0.5,0.5,0.5,0.5,0.5,0.6875,0.5,0.4375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.484375,0.625,0.625,0.625,0.625,0.625,0.8125,0.625,0.625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.4609375,0.46875,0.46875,0.46875,0.4375,0.46875,0.625,0.34375,0.46875
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.53125,0.6328125,0.625,0.625,0.625,0.6328125,0.8125,0.625,0.6251070205479452
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.6015625,0.8203125,0.8125,0.8125,0.8125,0.8203125,1.0,0.8125,0.8125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.28125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75,0.75
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.28125,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.46875,0.5625
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.28125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75,0.741907600105374
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.703125,0.9375,0.9375,0.9375,0.9375,0.9375,1.125,0.9375,0.9375
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.4453125,0.46875,0.46875,0.46875,0.375,0.46875,0.5625,0.0,0.46875
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.55078125,0.62109375,0.609375,0.609375,0.5625,0.62109375,0.75,0.515625,0.627152759483667
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.65625,0.80859375,0.75,0.75,0.75,0.80859375,0.9375,0.80859375,0.75
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.703125,0.76171875,0.75,0.75,0.75,0.76171875,0.9375,0.65625,0.7657032073234984
"[(0, 0.75, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.80859375,0.94921875,0.9375,0.9375,0.9375,0.94921875,1.125,0.94921875,0.9444769164910432
"[(0, 0.75, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.328125,1.125,1.125,1.125,1.125,1.125,1.3125,0.984375,1.099278022918862
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.21875,0.25,0.25,0.25,0.25,0.25,0.375,0.25,0.25
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.3125,0.375,0.375,0.375,0.375,0.375,0.5,0.25,0.375
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.375,0.5
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.328125,0.328125,0.328125,0.3125,0.3125,0.328125,0.4375,0.1875,0.3125
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.46875,0.515625,0.5,0.5,0.5,0.515625,0.625,0.375,0.5
"[(0, 0.25, 0.5), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.5625,0.703125,0.6875,0.6875,0.6875,0.703125,0.8125,0.5625,0.6875
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.46875,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.421875,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375,0.42510208113804004
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.5625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625
"[(0, 0.25, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.703125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.8125,0.8125
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.53125,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.6059997365648051
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.3125,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625,0.5078207323498419
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.546875,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.7013468124341412
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.796875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375,0.9375
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.3984375,0.40625,0.40625,0.40625,0.375,0.40625,0.5,0.3515625,0.40625
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5625,0.5859375,0.5625,0.5625,0.5625,0.5859375,0.6875,0.5859375,0.5809322312961012
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.5,0.7734375,0.75,0.75,0.75,0.7734375,0.875,0.7734375,0.75
"[(0, 0.25, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.703125,0.75,0.75,0.75,0.75,0.75,0.875,0.7265625,0.7229402660695469
"[(0, 0.25, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.8671875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9140625,0.9172731164383562
"[(0, 0.25, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.828125,1.125,1.125,1.125,1.125,1.125,1.25,1.125,1.0572065990516333
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.53125,0.625,0.625,0.625,0.625,0.625,0.875,0.375,0.625
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.515625,0.53125,0.53125,0.53125,0.5,0.53125,0.6875,0.25,0.53125
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.5625,0.65625,0.65625,0.625,0.625,0.65625,0.875,0.375,0.625
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.609375,0.84375,0.8125,0.8125,0.8125,0.84375,1.0625,0.5625,0.8125
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.625,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.4375,0.65625,0.65625,0.65625,0.625,0.65625,0.8125,0.375,0.65625
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.671875,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.7567834562697576
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.71875,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875,0.84375,0.9375
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.484375,0.53125,0.53125,0.53125,0.4375,0.53125,0.625,0.390625,0.4210952429266679
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5546875,0.671875,0.671875,0.671875,0.625,0.671875,0.8125,0.5625,0.671875
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.625,0.84375,0.84375,0.84375,0.8125,0.84375,1.0,0.75,0.84375
"[(0, 0.5, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.71875,0.8125,0.8125,0.8125,0.75,0.8125,1.0,0.703125,0.8125
"[(0, 0.5, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.7890625,0.984375,0.9609375,0.953125,0.9375,0.984375,1.1875,0.984375,0.9664943361433087
"[(0, 0.5, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.953125,1.125,1.125,1.125,1.125,1.125,1.375,1.125,1.1333969968387776
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.75,0.75,0.75,0.75,0.75,0.75,1.125,0.375,0.75
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.5625,0.75,0.75,0.75,0.75,0.75,0.9375,0.75,0.75
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.5625,0.84375,0.84375,0.84375,0.75,0.84375,1.125,0.796875,0.8328832982086407
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.84375,0.984375,0.984375,0.9375,0.9375,0.984375,1.3125,0.84375,0.9375
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.609375,0.65625,0.65625,0.65625,0.5625,0.65625,0.75,0.609375,0.65625
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.6796875,0.796875,0.796875,0.796875,0.75,0.796875,0.9375,0.75,0.7509631849315068
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.75,0.9375,0.9375,0.9375,0.9375,0.9375,1.125,0.84375,
"[(0, 0.75, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.84375,0.9375,0.9375,0.9375,0.75,0.9375,1.125,0.7978940217391304,
"[(0, 0.75, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.9140625,1.078125,1.078125,1.078125,0.9375,1.078125,1.3125,0.9140625,
"[(0, 0.75, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",1.078125,1.21875,1.21875,1.21875,1.125,1.21875,1.5,1.0546875,
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.3984375,0.46875,0.46875,0.46875,0.375,0.46875,0.5625,0.328125,
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.29296875,0.65625,0.65625,0.65625,0.5625,0.65625,0.75,0.421875,
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.328125,0.84375,0.84375,0.84375,0.75,0.84375,0.9375,0.703125,
"[(0, 0.25, 0.75), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.609375,0.796875,0.796875,0.796875,0.75,0.796875,0.9375,0.66796875,
"[(0, 0.25, 0.75), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.36328125,0.984375,0.984375,0.984375,0.9375,0.984375,1.125,0.94921875,
"[(0, 0.25, 0.75), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.3984375,1.125,1.125,1.125,1.125,1.125,1.3125,1.125,
